SMP real_boot_time times_called ns_per_call predict_sec scale_factor test_total_clocksource_ns real_total_clocksource_ns percentage real_ns_per_call diff_ns_per_call
1 12.05580 220579106 2.77813 5.55625 1.79977 2523327095 1297733725 0.10764 5.88330 3.10518
2 25.06369 435328483 2.59627 10.38508 0.96292 5714384124 3453924139 0.13781 7.93406 5.33779
3 40.81783 666649038 2.83042 16.98253 0.58884 8672464569 4898668772 0.12001 7.34820 4.51778
4 51.85267 891891449 2.77087 22.16695 0.45112 11520719576 6578092213 0.12686 7.37544 4.60457
5 63.98104 1118817838 2.60164 26.01636 0.38437 15793762242 9972249229 0.15586 8.91320 6.31157
6 76.64859 1348134744 2.75390 33.04678 0.30260 17524102470 10098850365 0.13176 7.49098 4.73708
7 89.68765 1577259664 2.59355 36.30971 0.27541 20330078591 12148672755 0.13546 7.70239 5.10884
8 103.33380 1808728844 2.43761 39.00181 0.25640 23996322070 15178359014 0.14689 8.39173 5.95411
9 115.71722 2043582559 2.59175 46.65154 0.21436 26578611246 15985691054 0.13814 7.82239 5.23063
10 128.46780 2242478531 2.29795 45.95896 0.21759 29435569621 19129370958 0.14890 8.53046 6.23251
11 141.94536 2520083970 2.75664 60.64612 0.16489 32978030234 19084093387 0.13445 7.57280 4.81616
12 152.13233 2711050857 2.74356 65.84550 0.15187 35774656538 20898781479 0.13737 7.70874 4.96518
13 168.09078 3000772411 2.29046 59.55193 0.16792 38460195934 24713904598 0.14703 8.23585 5.94539
14 157.86439 2776889394 2.43941 68.30356 0.14641 36644186367 23096226705 0.14630 8.31730 5.87789
15 170.36654 2992431535 2.59220 77.76602 0.12859 38185473065 22671507884 0.13307 7.57628 4.98408
16 182.75444 3210756516 2.74300 87.77601 0.11393 42305747583 24691535459 0.13511 7.69025 4.94725
17 194.41816 3426477368 2.74706 93.40008 0.10707 46074458515 27248972244 0.14016 7.95247 5.20541
18 204.61856 3615362621 2.90003 104.40105 0.09578 47488481389 26519168274 0.12960 7.33513 4.43510
19 215.70018 3901869588 2.68628 102.07848 0.09796 50384852534 29421856716 0.13640 7.54045 4.85418
20 230.47516 4076813049 2.59272 103.70868 0.09642 53064836667 31924792424 0.13852 7.83082 5.23810
21 242.82322 4300187139 2.74409 115.25195 0.08677 55581530327 31981294211 0.13171 7.43719 4.69309
22 255.19182 4524616682 2.76512 121.66518 0.08219 58577683712 33555487739 0.13149 7.41621 4.65109
23 267.07120 4737382883 2.77728 127.75491 0.07827 61370289397 35056205517 0.13126 7.39991 4.62263
24 280.13648 4984691074 2.75036 132.01742 0.07575 64495807393 37076388367 0.13235 7.43805 4.68769
25 293.51412 5211357407 2.77961 138.98053 0.07195 66739879607 37768790227 0.12868 7.24740 4.46779
26 302.72097 5416856890 2.76465 143.76162 0.06956 69010351510 39058961209 0.12903 7.21063 4.44599
27 316.84680 5668120840 2.59176 139.95494 0.07145 73715898364 44335101905 0.13993 7.82183 5.23008
28 331.20924 5908363456 2.44362 136.84273 0.07308 74126864016 45251271072 0.13662 7.65885 5.21523
29 343.12032 6127594851 2.43847 141.43123 0.07071 78161655852 48277749830 0.14070 7.87874 5.44027
30 357.61206 6389768778 2.75634 165.38022 0.06047 82782774632 47558062620 0.13299 7.44285 4.68651
31 369.71660 6618979313 2.75102 170.56344 0.05863 83862278148 47444346644 0.12833 7.16792 4.41690
32 382.60156 6862040228 2.58918 165.70763 0.06035 85387989741 49853852092 0.13030 7.26516 4.67598
