SMP real_boot_time times_called ns_per_call predict_sec scale_factor test_total_clocksource_ns real_total_clocksource_ns percentage real_ns_per_call diff_ns_per_call
1 67.98316 220582670 33.18822 66.37645 0.15066 16427786106 1786291567 0.02628 8.09806 -25.09017 
2 131.87344 435909499 33.35747 133.42989 0.07495 32297508598 3215831038 0.02439 7.37729 -25.98018 
3 171.91387 570935072 33.24976 199.49858 0.05013 42476477963 4509565279 0.02623 7.89856 -25.35120 
4 226.89266 771928218 33.28034 266.24275 0.03756 57530960329 6150886981 0.02711 7.96821 -25.31213 
5 289.46458 961288111 33.35733 333.57328 0.02998 71020458089 6888453097 0.02380 7.16586 -26.19147 
6 341.14562 1167372872 33.23428 398.81134 0.02507 86381157327 8787567170 0.02576 7.52764 -25.70663 
7 401.46775 1356215353 33.28046 465.92648 0.02146 100819748978 10548798893 0.02628 7.77811 -25.50235 
8 457.70431 1571387522 33.32664 533.22619 0.01875 116996511938 12258389503 0.02678 7.80100 -25.52564 
9 516.30432 1774731469 33.29587 599.32569 0.01669 132311942106 14129479600 0.02737 7.96147 -25.33440 
10 593.13878 1986498222 33.29579 665.91579 0.01502 147292529755 15008476074 0.02530 7.55524 -25.74055 
11 668.08029 2171896210 33.31123 732.84695 0.01365 162286258288 17589211231 0.02633 8.09855 -25.21267 
12 724.11834 2375974549 33.21892 797.25418 0.01254 175969689350 18115053485 0.02502 7.62426 -25.59466 
13 781.87232 2588239965 33.32659 866.49138 0.01154 192851435514 20337003917 0.02601 7.85746 -25.46913 
14 851.16526 2797195381 33.21892 930.12964 0.01075 207641095230 21801500674 0.02561 7.79406 -25.42486 
15 918.61653 3010098771 33.28047 998.41401 0.01002 224000491666 23645506777 0.02574 7.85539 -25.42507 
16 973.37662 3224167879 33.28043 1064.97372 0.00939 239124290489 24520911714 0.02519 7.60535 -25.67508 
17 1044.93696 3440743986 33.24968 1130.48907 0.00885 255797439327 26990176286 0.02583 7.84428 -25.40539 
18 1102.26573 3660211380 33.23446 1196.44041 0.00836 271858718787 28568451231 0.02592 7.80514 -25.42932 
19 1172.38012 3884583866 33.31131 1265.82960 0.00790 289448342063 30647223875 0.02614 7.88945 -25.42186 
20 1240.44645 4103643907 33.21876 1328.75030 0.00753 304508299094 31872395910 0.02569 7.76685 -25.45191 
21 1313.91083 4330037388 33.32618 1399.69937 0.00714 322188115057 33580943296 0.02556 7.75535 -25.57083 
22 1378.35829 4556671704 33.26496 1463.65822 0.00683 339209954932 36054955485 0.02616 7.91256 -25.35240 
23 1436.74332 4781643404 33.21892 1528.07012 0.00654 354727416822 37045398311 0.02578 7.74742 -25.47150 
24 1526.64752 5011006747 33.28051 1597.46424 0.00626 373182556669 39644885547 0.02597 7.91156 -25.36894 
25 1567.65875 5247040138 33.32659 1666.32934 0.00600 389621396636 39889520400 0.02545 7.60229 -25.72430 
26 1659.62532 5480051805 33.29583 1731.38317 0.00578 408157252307 43231503365 0.02605 7.88889 -25.40694 
27 1730.38957 5715312590 33.28063 1797.15425 0.00556 424413204704 43994748884 0.02542 7.69770 -25.58294 
28 1792.01382 5951586525 33.28012 1863.68690 0.00537 442393801516 46254735209 0.02581 7.77183 -25.50829 
29 1875.68894 6192935194 33.31145 1932.06387 0.00518 461503019508 48911767106 0.02608 7.89799 -25.41345 
30 1933.84297 6431523654 33.31128 1998.67654 0.00500 477868135132 49383621397 0.02554 7.67837 -25.63291 
31 2025.51140 6678665047 33.31125 2065.29753 0.00484 499172671471 54223303418 0.02677 8.11888 -25.19237 
32 2097.36059 6928445878 33.34203 2133.89003 0.00469 515829265410 53812340898 0.02566 7.76687 -25.57516 
