SMP real_boot_time times_called ns_per_call predict_sec scale_factor test_total_clocksource_ns real_total_clocksource_ns percentage real_ns_per_call diff_ns_per_call
1 22.76822 220520065 4.95380 9.90760 1.00933 5263951770 3079126923 0.13524 13.96302 9.00922
2 37.71238 382052852 4.56919 18.27676 0.54714 8842920110 5351576603 0.14191 14.00742 9.43824
3 67.32372 666593948 5.01534 30.09204 0.33231 15869859759 9183469566 0.13641 13.77671 8.76137
4 91.65153 892007549 5.29226 42.33809 0.23619 21164818513 11723343998 0.12791 13.14265 7.85039
5 112.96891 1119057116 5.06150 50.61496 0.19757 26523779923 15195574207 0.13451 13.57891 8.51741
6 149.26798 1347893358 5.78457 69.41482 0.14406 34715722073 19121759962 0.12810 14.18640 8.40184
7 159.85139 1551775779 5.16919 72.36866 0.13818 37073712755 21030864743 0.13157 13.55277 8.38358
8 165.36540 1540267308 5.84611 93.53775 0.10691 37882649074 19873507362 0.12018 12.90264 7.05653
9 195.87424 1739739033 5.56962 100.25309 0.09975 45015651999 25636294274 0.13088 14.73571 9.16610
10 218.02648 1979461218 5.52335 110.46697 0.09052 50896104413 29029596571 0.13315 14.66540 9.14205
11 239.54792 2185677957 5.52327 121.51185 0.08230 56807627713 32663466959 0.13635 14.94432 9.42105
12 266.24699 2366430186 5.55398 133.29546 0.07502 61712229998 35426029508 0.13306 14.97024 9.41626
13 286.96055 2605082664 5.55394 144.40239 0.06925 66938947030 38002011348 0.13243 14.58764 9.03370
14 313.36699 2782285615 5.55391 155.50957 0.06430 72081764606 41176619171 0.13140 14.79957 9.24565
15 309.22595 3029534602 5.07697 152.30911 0.06566 72254617705 41492902332 0.13418 13.69613 8.61916
16 360.53281 3247112030 5.86158 187.57071 0.05331 85238629210 47172185671 0.13084 14.52743 8.66584
17 368.02007 3422981712 5.63081 191.44749 0.05223 85795577538 47247268341 0.12838 13.80296 8.17215
18 416.47686 3655137682 5.24619 188.86277 0.05295 95614611751 57263532072 0.13750 15.66659 10.42040
19 405.20451 3863293138 5.20003 197.60124 0.05061 93882702990 53704201755 0.13254 13.90115 8.70111
20 468.31175 4089768717 5.98455 239.38196 0.04177 107705265531 58754423715 0.12546 14.36620 8.38165
21 456.03924 4314396117 5.92306 248.76839 0.04020 109434812567 58325985519 0.12790 13.51892 7.59587
22 480.22589 4537655685 5.52308 243.01530 0.04115 111527041293 61403415948 0.12786 13.53197 8.00889
23 548.21619 4762623423 6.00001 276.00026 0.03623 124256602847 67105068137 0.12241 14.08994 8.08993
24 536.57387 4990598195 5.98475 287.26779 0.03481 124801016704 65066095066 0.12126 13.03773 7.05299
25 563.37579 5220643483 5.18468 259.23385 0.03858 131168291995 77033592255 0.13674 14.75557 9.57090
26 576.65887 5450680050 6.09236 316.80264 0.03157 134464026736 68049034127 0.11801 12.48450 6.39215
27 615.30467 5686072209 5.49235 296.58673 0.03372 141679331071 79219569893 0.12875 13.93221 8.43987
28 642.15116 5924282648 5.39995 302.39742 0.03307 147144436518 83162729136 0.12951 14.03760 8.63765
29 699.15594 6167203137 6.00000 347.99984 0.02874 160082151204 86075748286 0.12311 13.95702 7.95702
30 685.75857 6398342058 5.23078 313.84676 0.03186 159371496269 92434865591 0.13479 14.44669 9.21591
31 701.02132 6643926137 5.29219 328.11591 0.03048 162703631245 92381765130 0.13178 13.90469 8.61250
32 961.11188 6893957061 5.90764 378.08872 0.02645 172860166516 91406185502 0.09510 13.25889 7.35125
