SMP real_boot_time times_called ns_per_call predict_sec scale_factor test_total_clocksource_ns real_total_clocksource_ns percentage real_ns_per_call diff_ns_per_call
1 23.28140 220509954 7.80005 15.60009 0.64102 6573038654 3133062807 0.13457 14.20826 6.40821
2 39.68521 382476361 7.75389 31.01556 0.32242 11241062724 5309702886 0.13380 13.88243 6.12854
3 68.73960 666604660 7.73850 46.43102 0.21537 19307098694 8990054084 0.13078 13.48634 5.74783
4 92.71688 892007544 7.58465 60.67722 0.16481 25675115421 12143981871 0.13098 13.61421 6.02956
5 117.19988 1119125747 7.76926 77.69263 0.12871 32533124677 15143559816 0.12921 13.53160 5.76233
6 140.59818 1347861608 7.80003 93.60033 0.10684 38604122583 17577408009 0.12502 13.04096 5.24093
7 160.54550 1551541847 7.96925 111.56955 0.08963 43863113801 19133852806 0.11918 12.33215 4.36290
8 188.35238 1809864792 7.78463 124.55414 0.08029 52445110281 24266841961 0.12884 13.40810 5.62346
9 196.47922 1745636545 7.76925 139.84642 0.07151 49095084700 21970527252 0.11182 12.58597 4.81672
10 200.96623 1978256808 7.76924 155.38486 0.06436 55825081070 25085965598 0.12483 12.68084 4.91160
11 221.00193 2187836487 7.80001 171.60023 0.05827 61161077165 27030782057 0.12231 12.35503 4.55502
12 239.70316 2392226630 7.92309 190.15407 0.05259 66681677144 28774041030 0.12004 12.02814 4.10506
13 283.13967 2572212638 7.78482 202.40529 0.04941 71982571923 31934153003 0.11279 12.41505 4.63023
14 318.96102 2789605130 7.80014 218.40387 0.04579 79049185634 35530574302 0.11139 12.73678 4.93664
15 305.60654 3029516790 7.72317 231.69519 0.04316 84935934083 38140969066 0.12480 12.58979 4.86661
16 357.90368 3207326181 7.78469 249.11011 0.04014 94718836726 44782750314 0.12513 13.96264 6.17795
17 383.60707 3429852589 7.78468 264.67905 0.03778 95459721450 42059126309 0.10964 12.26266 4.47799
18 377.62107 3685691143 7.86159 283.01741 0.03533 101233883663 43283064262 0.11462 11.74354 3.88195
19 434.47817 3864292640 7.83070 297.56674 0.03361 106719516387 46199254861 0.10633 11.95542 4.12472
20 455.16822 4092545578 8.19999 327.99960 0.03049 114387056484 47269390226 0.10385 11.55012 3.35013
21 478.78700 4311994584 7.78463 326.95448 0.03059 115939309504 48804740329 0.10193 11.31837 3.53374
22 512.21685 4540316399 7.76926 341.84727 0.02925 128910382836 58360619751 0.11394 12.85387 5.08461
23 525.45179 4763271225 7.75362 356.66674 0.02804 131168594991 57303360218 0.10906 12.03025 4.27663
24 554.68152 4990920291 7.78454 373.65782 0.02676 137991152618 60287136065 0.10869 12.07936 4.29482
25 583.37788 5220864115 7.70767 385.38343 0.02595 143383750135 62902369488 0.10782 12.04827 4.34060
26 611.43678 5456065105 7.84615 407.99972 0.02451 149770942632 64152749476 0.10492 11.75806 3.91191
27 628.88143 5687009710 7.72331 417.05890 0.02398 156202326638 68357215989 0.10870 12.01989 4.29657
28 657.07164 5926012881 7.76934 435.08307 0.02298 161169828278 69087403151 0.10514 11.65833 3.88899
29 683.42052 6159865755 7.78469 451.51186 0.02215 168057409936 72152152985 0.10558 11.71327 3.92858
30 711.55714 6399456170 7.75391 465.23432 0.02149 175725323994 76483768684 0.10749 11.95160 4.19770
31 742.03763 6648040575 7.78467 482.64975 0.02072 181255347054 77749697188 0.10478 11.69513 3.91046
32 761.36457 6885854406 7.84621 502.15757 0.01991 187976134151 79920387210 0.10497 11.60646 3.76025
