SMP real_boot_time times_called ns_per_call predict_sec scale_factor test_total_clocksource_ns real_total_clocksource_ns percentage real_ns_per_call diff_ns_per_call
1 44.29797 220717848 20.72310 41.44621 0.24128 14322019298 5174101291 0.11680 23.44215 2.71905
2 75.71548 382752166 20.73849 82.95396 0.12055 24949034746 9073630977 0.11984 23.70628 2.96779
3 115.22138 570664360 20.72311 124.33864 0.08043 37402054417 13750177950 0.11934 24.09504 3.37193
4 147.30498 766637091 20.73849 165.90794 0.06027 50087374238 18289579102 0.12416 23.85689 3.11840
5 185.49098 967986037 20.75401 207.54009 0.04818 63543447564 23364265329 0.12596 24.13699 3.38298
6 221.72317 1167535723 20.75398 249.04771 0.04015 75292421779 26830404815 0.12101 22.98037 2.22640
7 258.05069 1367144617 20.73856 290.33991 0.03444 88776398639 32071164136 0.12428 23.45850 2.71994
8 307.22332 1555064921 20.75393 332.06288 0.03011 100556372654 36008955383 0.11721 23.15592 2.40199
9 333.86895 1772910625 20.72315 373.01665 0.02681 115612369516 42131793153 0.12619 23.76419 3.04105
10 386.99777 1963165036 20.90776 418.15511 0.02391 128765374804 46674625435 0.12061 23.77519 2.86744
11 423.72108 2163130209 20.73852 456.24744 0.02192 141582619338 51862381933 0.12240 23.97562 3.23710
12 469.63352 2376594922 20.09243 482.21821 0.02074 155541780189 60038667910 0.12784 25.26247 5.17005
13 507.31098 2581540406 20.73855 539.20234 0.01855 167727666980 60652850257 0.11956 23.49483 2.75628
14 544.76213 2794910211 25.64625 718.09496 0.01393 181216644383 37858720469 0.06950 13.54559 -12.10065 
15 584.08999 3005428863 20.72315 621.69445 0.01609 195646957840 71083061450 0.12170 23.65155 2.92841
16 626.65292 3219886609 20.73880 663.64155 0.01507 210996503167 77443343964 0.12358 24.05157 3.31278
17 667.50195 3434080447 20.75403 705.63689 0.01417 223449637560 80907647265 0.12121 23.56021 2.80618
18 709.44177 3654846277 20.72321 746.03552 0.01340 236855419351 85375133054 0.12034 23.35943 2.63622
19 753.12538 3875112380 20.75397 788.65067 0.01268 252334421121 91486526875 0.12148 23.60874 2.85478
20 795.29685 4096473685 20.72319 828.92769 0.01206 265726473136 95942449473 0.12064 23.42074 2.69755
21 839.84550 4321460197 20.73858 871.02020 0.01148 280522950545 101281087496 0.12059 23.43677 2.69820
22 884.57273 4547190967 20.75369 913.16218 0.01095 295280079037 106538132574 0.12044 23.42944 2.67575
23 923.81277 4764579518 20.72307 953.26130 0.01049 307013182102 109539735059 0.11857 22.99043 2.26736
24 967.81684 4997641609 20.72310 994.70879 0.01005 324540402129 117407151550 0.12131 23.49251 2.76941
25 1024.73360 5231733625 20.75387 1037.69368 0.00964 342258357379 125100880494 0.12208 23.91194 3.15806
26 1061.73776 5464886197 20.73910 1078.43305 0.00927 357040282029 130366671321 0.12279 23.85533 3.11623
27 1102.89547 5700903574 20.75406 1120.71920 0.00892 371034291623 134400511086 0.12186 23.57530 2.82124
28 1151.99497 5936629525 20.75389 1162.21790 0.00860 384017754007 137601428590 0.11945 23.17838 2.42448
29 1200.98157 6177754571 20.75397 1203.73012 0.00831 403720799091 147294963627 0.12265 23.84280 3.08883
30 1249.47257 6417955697 20.75394 1245.23631 0.00803 419110182038 152714465882 0.12222 23.79488 3.04094
31 1287.59202 6661529492 20.72319 1284.83795 0.00778 432583573233 156487253837 0.12153 23.49119 2.76800
32 1336.40070 6907857011 20.75397 1328.25391 0.00753 447933368798 161202490165 0.12062 23.33611 2.58214
