SMP real_boot_time times_called ns_per_call predict_sec scale_factor test_total_clocksource_ns real_total_clocksource_ns percentage real_ns_per_call diff_ns_per_call
1 41.78752 220622168 33.24969 66.49939 0.15038 16863795590 2192556228 0.05247 9.93806 -23.31163 
2 68.05096 382649629 33.28047 133.12186 0.07512 29362125319 3892609372 0.05720 10.17278 -23.10769 
3 113.67908 666678364 33.28046 199.68279 0.05008 51402468563 7027737198 0.06182 10.54142 -22.73904 
4 134.55571 772500812 33.29585 266.36679 0.03754 59485609535 8043468948 0.05978 10.41225 -22.88360 
5 161.80752 967780701 33.34246 333.42456 0.02999 74254775424 9718404632 0.06006 10.04195 -23.30051 
6 192.09666 1166329185 33.31157 399.73889 0.02502 89611318988 11906796254 0.06198 10.20878 -23.10280 
7 224.07258 1366797828 33.28071 465.92994 0.02146 104645793569 13669788738 0.06101 10.00132 -23.27939 
8 261.98865 1544270517 33.24987 531.99786 0.01880 118620150011 15926572927 0.06079 10.31333 -22.93654 
9 299.69132 1756872889 33.28059 599.05057 0.01669 135049796311 18110273007 0.06043 10.30824 -22.97234 
10 326.84044 1982416713 33.34210 666.84196 0.01500 152315563575 20119698200 0.06156 10.14908 -23.19302 
11 365.09811 2163984305 33.24976 731.49472 0.01367 166370013308 22466095338 0.06153 10.38182 -22.86794 
12 399.91912 2373813287 33.29591 799.10178 0.01251 183027138706 24950604294 0.06239 10.51077 -22.78514 
13 433.09453 2581319009 33.26496 864.88903 0.01156 198152648506 26417686649 0.06100 10.23418 -23.03078 
14 469.35516 2791905689 33.34197 933.57518 0.01071 213978643571 27803368254 0.05924 9.95856 -23.38341 
15 503.40020 3003068305 33.31123 999.33698 0.01001 231037611843 30965796814 0.06151 10.31139 -22.99985 
16 542.89197 3220478000 33.34202 1066.94463 0.00937 247720295642 32965813258 0.06072 10.23631 -23.10571 
17 575.03440 3433040753 33.32655 1133.10283 0.00883 263912749475 35089915404 0.06102 10.22123 -23.10532 
18 616.77136 3655700886 33.34199 1200.31157 0.00833 281423843279 37647173584 0.06104 10.29821 -23.04378 
19 645.62993 3876445522 33.24969 1263.48809 0.00791 297799666956 40018469618 0.06198 10.32350 -22.92619 
20 684.40209 4094478424 33.24969 1329.98766 0.00752 314685353918 42405064574 0.06196 10.35665 -22.89305 
21 723.62074 4317286707 33.24968 1396.48669 0.00716 331126179364 44029350243 0.06085 10.19838 -23.05130 
22 762.28296 4542074385 33.28046 1464.34029 0.00683 348322071535 45997411279 0.06034 10.12696 -23.15350 
23 796.07783 4769287650 33.26513 1530.19619 0.00654 366669371529 49367380136 0.06201 10.35110 -22.91403 
24 834.46756 4999730194 33.34203 1600.41723 0.00625 384397030557 50994765237 0.06111 10.19950 -23.14252 
25 870.80630 5228127594 33.31124 1665.56223 0.00600 401908063489 53597189643 0.06155 10.25170 -23.05955 
26 910.28965 5458863921 33.23433 1728.18531 0.00579 417091618516 54248216819 0.05959 9.93764 -23.29669 
27 957.95251 5699395321 33.28048 1797.14582 0.00556 439021953060 59664750469 0.06228 10.46861 -22.81187 
28 996.60297 5929015525 33.24972 1861.98417 0.00537 455620750190 61344570499 0.06155 10.34650 -22.90322 
29 1029.23418 6171705098 33.26509 1929.37547 0.00518 474363943660 63759238462 0.06195 10.33090 -22.93420 
30 1068.87701 6409139752 33.26475 1995.88487 0.00501 492310848768 65914012852 0.06167 10.28438 -22.98037 
31 1110.22431 6654742539 33.23422 2060.52179 0.00485 512174525569 69844138048 0.06291 10.49539 -22.73883 
32 1156.34480 6898845960 33.24964 2127.97693 0.00470 530530654475 71762371885 0.06206 10.40208 -22.84756 
