SMP real_boot_time times_called ns_per_call predict_sec scale_factor test_total_clocksource_ns real_total_clocksource_ns percentage real_ns_per_call diff_ns_per_call
1 48.10536 219975056 4.38100 8.76199 1.14129 7802366465 5874946994 0.12213 26.70733 22.32634
2 82.28778 381622690 5.08837 20.35350 0.49132 13549121978 9665443761 0.11746 25.32723 20.23885
3 123.78547 581780714 5.01419 30.08511 0.33239 20681370604 14847058059 0.11994 25.52002 20.50584
4 160.82407 758701134 5.00210 40.01679 0.24990 26971230709 19381033828 0.12051 25.54502 20.54292
5 205.57421 965204234 5.10103 51.01027 0.19604 34304450644 24457385076 0.11897 25.33908 20.23805
6 245.45512 1156311337 5.03068 60.36812 0.16565 41118182620 29484125102 0.12012 25.49843 20.46775
7 287.76578 1354166260 5.00933 70.13057 0.14259 48140761998 34573840739 0.12015 25.53146 20.52213
8 331.70449 1565895296 5.02103 80.33654 0.12448 55670960606 39946133659 0.12043 25.51009 20.48906
9 375.55455 1768117472 5.01880 90.33848 0.11069 62864469414 45116797646 0.12013 25.51686 20.49805
10 417.16550 1973638714 5.01128 100.22568 0.09977 70158518702 50377590544 0.12076 25.52523 20.51395
11 463.12009 2182444053 5.03444 110.75773 0.09029 77670655682 55695878266 0.12026 25.51996 20.48551
12 504.25626 2374852145 4.96936 119.26468 0.08385 84440913595 60837915777 0.12065 25.61756 20.64820
13 551.58167 2580816802 4.95011 128.70275 0.07770 91650858020 66100225738 0.11984 25.61213 20.66203
14 586.73673 2790786654 4.99700 139.91607 0.07147 99145696547 71254560387 0.12144 25.53207 20.53507
15 632.73083 2998393118 5.00785 150.23554 0.06656 106506675852 76475662243 0.12087 25.50555 20.49770
16 681.20048 3216685133 4.99847 159.95093 0.06252 112946626327 80789639432 0.11860 25.11581 20.11734
17 728.34749 3434260810 5.02057 170.69933 0.05858 122016867959 87532983985 0.12018 25.48816 20.46759
18 773.08185 3654445855 5.05180 181.86471 0.05499 129083276029 92160235554 0.11921 25.21866 20.16686
19 820.75144 3874369111 4.88890 185.77832 0.05383 136177255673 98294424584 0.11976 25.37043 20.48153
20 877.70242 4093104179 4.88794 195.51764 0.05115 145678884195 105665180350 0.12039 25.81541 20.92747
21 923.37631 4320818429 4.97227 208.83552 0.04788 154764717654 111796128330 0.12107 25.87383 20.90156
22 955.97565 4539487639 4.95094 217.84141 0.04590 159885145210 114935673989 0.12023 25.31909 20.36814
23 1015.09764 4769262045 4.85220 223.20102 0.04480 168717769978 122434980222 0.12061 25.67168 20.81949
24 1070.37900 4999971563 4.98907 239.47523 0.04176 177487089299 127596699970 0.11921 25.51949 20.53042
25 1109.19663 5232714051 5.03236 251.61792 0.03974 185801735851 133135951476 0.12003 25.44300 20.41064
26 1155.04024 5461694694 5.01869 260.97163 0.03832 194030030343 139208977015 0.12052 25.48824 20.46955
27 1202.87074 5693728301 4.99825 269.90560 0.03705 202127123672 145209746812 0.12072 25.50346 20.50520
28 1229.41189 5937892778 5.03155 281.76702 0.03549 205864972390 146111317900 0.11885 24.60659 19.57504
29 1273.87856 6169551372 4.88256 283.18872 0.03531 213648103007 153401642828 0.12042 24.86431 19.98175
30 1332.71600 6478895353 4.86774 292.06465 0.03424 224330242102 161255031349 0.12100 24.88928 20.02153
31 1369.05208 6658874528 4.87089 301.99540 0.03311 230574375617 165705037179 0.12104 24.88484 20.01395
32 1422.86196 6903645590 4.84321 309.96554 0.03226 238986398866 172114766908 0.12096 24.93100 20.08779
