SMP real_boot_time times_called ns_per_call predict_sec scale_factor test_total_clocksource_ns real_total_clocksource_ns percentage real_ns_per_call diff_ns_per_call
1 73.18969 220711519 20.10786 40.21572 0.24866 14242118578 5366045264 0.07332 24.31248 4.20462
2 123.05905 379672997 20.72325 82.89299 0.12064 24569199006 8833084098 0.07178 23.26498 2.54173
3 186.86016 569092295 20.75401 124.52407 0.08031 36492285392 12870389296 0.06888 22.61564 1.86163
4 246.77496 772110534 20.75401 166.03204 0.06023 50225202207 18176429775 0.07366 23.54123 2.78722
5 320.55248 980373681 20.73805 207.38051 0.04822 63741112926 23079034044 0.07200 23.54106 2.80301
6 370.24274 1167427890 20.72289 248.67474 0.04021 75087608537 26702637835 0.07212 22.87305 2.15016
7 430.78761 1368847718 20.30765 284.30705 0.03517 89427970637 33831820656 0.07853 24.71555 4.40790
8 494.88451 1571170409 20.75387 332.06194 0.03011 101109216298 35893479695 0.07253 22.84506 2.09119
9 556.71417 1775425080 20.75391 373.57029 0.02677 115867158579 42173151088 0.07575 23.75383 2.99993
10 627.11224 1984246649 20.73897 414.77950 0.02411 129210299287 46907816664 0.07480 23.64011 2.90114
11 693.80312 2191498466 20.73873 456.25208 0.02192 141399528807 50501734798 0.07279 23.04439 2.30565
12 772.69595 2377202776 20.75404 498.09697 0.02008 154400028271 55726902782 0.07212 23.44222 2.68818
13 839.47313 2588330397 20.75344 539.58937 0.01853 167841648958 60408143308 0.07196 23.33865 2.58521
14 910.05873 2801111731 20.61537 577.23031 0.01732 181809283955 66317385323 0.07287 23.67538 3.06001
15 975.70439 3010167838 20.75391 622.61723 0.01606 196101560297 71156069123 0.07293 23.63857 2.88466
16 1045.88264 3226188522 20.72315 663.14064 0.01508 209665720029 75952174852 0.07262 23.54239 2.81924
17 1117.79482 3444803038 21.03084 715.04867 0.01399 223421752518 78527527848 0.07025 22.79594 1.76510
18 1186.08016 3664570688 20.73853 746.58719 0.01339 238413838267 86418196626 0.07286 23.58208 2.84355
19 1257.89747 3885047232 20.73854 788.06450 0.01269 251369912311 90229502008 0.07173 23.22481 2.48628
20 1334.42186 4104883123 20.75392 830.15681 0.01205 265419933428 95035099393 0.07122 23.15172 2.39780
21 1398.59502 4328675797 20.75392 871.66459 0.01147 282341107087 102667134150 0.07341 23.71791 2.96399
22 1471.89326 4557209522 20.75435 913.19136 0.01095 291427550233 102263716181 0.06948 22.43999 1.68564
23 1540.17844 4786921686 20.75399 954.68360 0.01047 310149845998 111454384169 0.07236 23.28310 2.52911
24 1615.89055 5018456735 20.75382 996.18314 0.01004 324195842340 115891592226 0.07172 23.09307 2.33926
25 1689.87005 5247719568 20.72318 1036.15895 0.00965 335969387884 118470523178 0.07011 22.57562 1.85244
26 1778.55164 5481660152 20.72319 1077.60593 0.00928 353443495299 126248514139 0.07098 23.03107 2.30788
27 1854.10551 5719969787 20.72315 1119.05036 0.00894 369289394019 132217754620 0.07131 23.11511 2.39196
28 1941.62402 5956885460 20.75392 1162.21972 0.00860 374366874423 127109382961 0.06547 21.33823 0.58430
29 2001.98948 6196590086 20.70778 1201.05132 0.00833 399374395981 142739130700 0.07130 23.03511 2.32733
30 2088.53273 6439251100 20.72328 1243.39650 0.00804 418807742346 151922999667 0.07274 23.59327 2.87000
31 2157.93897 6684644613 20.73859 1285.79279 0.00778 428824457300 151564204818 0.07024 22.67349 1.93489
32 2236.40861 6933401129 19.70773 1261.29479 0.00793 451531614218 178248403354 0.07970 25.70865 6.00092
